Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-01-01,The Holdovers,2023,https://boxd.it/8fsGwN,5,Yes,,2025-01-01
2025-01-02,Stop Making Sense,1984,https://boxd.it/8gaQ0F,5,Yes,,2025-01-01
2025-01-02,True Stories,1986,https://boxd.it/8h9QJ3,4,,,2025-01-02
2025-01-03,Lessons of Darkness,1992,https://boxd.it/8i0Cmb,4.5,,germany 🇩🇪,2025-01-03
2025-01-05,Hotel Chevalier,2007,https://boxd.it/8jna3F,,Yes,,2025-01-04
2025-01-05,The Darjeeling Limited,2007,https://boxd.it/8jnRMj,3.5,Yes,,2025-01-04
2025-01-06,Barry Lyndon,1975,https://boxd.it/8kp7Bd,5,,,2025-01-05
2025-01-06,Nosferatu,1922,https://boxd.it/8lq5XH,4,Yes,"germany 🇩🇪, ⭐ nosfera-tour",2025-01-06
2025-01-08,Nosferatu the Vampyre,1979,https://boxd.it/8mlaLb,3.5,,"germany 🇩🇪, ⭐ nosfera-tour",2025-01-07
2025-01-09,Shadow of the Vampire,2000,https://boxd.it/8o2sz3,3.5,,⭐ nosfera-tour,2025-01-09
2025-01-10,Singin' in the Rain,1952,https://boxd.it/8oY82z,5,,watched on a plane,2025-01-10
2025-01-10,Prisoners,2013,https://boxd.it/8oYa2h,4,,watched on a plane,2025-01-10
2025-01-10,Blade Runner,1982,https://boxd.it/8oYLad,3.5,Yes,watched on a plane,2025-01-10
2025-01-11,Solo: A Star Wars Story,2018,https://boxd.it/8pKTHZ,3,Yes,watched on a plane,2025-01-10
2025-01-11,Moneyball,2011,https://boxd.it/8pLePl,4,,watched on a plane,2025-01-10
2025-01-11,The Iron Claw,2023,https://boxd.it/8pLrVh,3.5,Yes,watched on a plane,2025-01-10
2025-01-11,Civil War,2024,https://boxd.it/8pMukP,3,,watched on a plane,2025-01-10
2025-01-12,Babygirl,2024,https://boxd.it/8qNDXn,2.5,,watched in theater,2025-01-11
2025-01-12,Nosferatu,2024,https://boxd.it/8r9hgl,4.5,,"watched in theater, ⭐ nosfera-tour",2025-01-11
2025-01-16,Wavelength,1967,https://boxd.it/8utyah,,,canada 🇨🇦,2025-01-15
2025-01-17,Side by Side,2012,https://boxd.it/8uWoLF,,,watched for class,2025-01-16
2025-01-18,Nosferatu: A Symphony of Horror,2023,https://boxd.it/8vCgDd,2,,"kanopy, ⭐ nosfera-tour",2025-01-17
2025-01-18,GoodFellas,1990,https://boxd.it/8w5Qhl,3.5,,watched in theater,2025-01-17
2025-01-19,Six Men Getting Sick,1967,https://boxd.it/8wLjav,,,"criterion channel, ⭐ celebrating lynch",2025-01-18
2025-01-19,Wild at Heart,1990,https://boxd.it/8wN4oh,3,,⭐ celebrating lynch,2025-01-18
2025-01-20,Lost Highway,1997,https://boxd.it/8xLqh3,3,,"⭐ celebrating lynch, criterion channel, wtf cinema❓",2025-01-19
2025-01-21,The Grandmother,1970,https://boxd.it/8y9heH,,,"⭐ celebrating lynch, criterion channel, wtf cinema❓",2025-01-20
2025-01-21,The Amputee,1974,https://boxd.it/8ydWwZ,,,"⭐ celebrating lynch, criterion channel",2025-01-20
2025-01-21,The Alphabet,1969,https://boxd.it/8ye1ZH,,,"⭐ celebrating lynch, criterion channel, wtf cinema❓",2025-01-20
2025-01-21,Inland Empire,2006,https://boxd.it/8yEaSH,3,,"⭐ celebrating lynch, criterion channel, wtf cinema❓",2025-01-20
2025-01-24,Mishima: A Life in Four Chapters,1985,https://boxd.it/8Au009,4.5,,"criterion channel, japan 🇯🇵",2025-01-23
2025-01-25,Premonitions Following an Evil Deed,1995,https://boxd.it/8B6E2l,,,"⭐ celebrating lynch, criterion channel",2025-01-24
2025-01-25,Peeping Tom,1960,https://boxd.it/8B6Emv,4,,criterion channel,2025-01-24
2025-01-26,Possession,1981,https://boxd.it/8C5PV9,3.5,,"france 🇫🇷, germany 🇩🇪, kanopy, wtf cinema❓",2025-01-25
2025-01-28,Eraserhead,1977,https://boxd.it/8DFu6Z,5,Yes,"⭐ celebrating lynch, kanopy, wtf cinema❓",2025-01-27
2025-01-31,David Lynch: The Art Life,2016,https://boxd.it/8FMCxB,3.5,,"⭐ celebrating lynch, criterion channel",2025-01-30
2025-01-31,All That Jazz,1979,https://boxd.it/8G3Bp1,4.5,,tubi,2025-01-30
2025-02-01,Punch-Drunk Love,2002,https://boxd.it/8GldsB,3.5,,kanopy,2025-01-31
2025-02-02,The Brutalist,2024,https://boxd.it/8HlCUT,4,,watched in theater,2025-02-01
2025-02-05,Inception,2010,https://boxd.it/8Jubxz,4.5,,,2025-02-04
2025-02-07,No Country for Old Men,2007,https://boxd.it/8KB7Jz,4,,kanopy,2025-02-06
2025-02-07,Grizzly Man,2005,https://boxd.it/8KQrWN,3.5,,"⭐ herzog expedition, tubi",2025-02-06
2025-02-09,Anora,2024,https://boxd.it/8M2GDp,4,,watched in theater,2025-02-08
2025-02-09,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/8MmTIn,4.5,Yes,watched in theater,2025-02-08
2025-02-10,Sometimes I Think About Dying,2023,https://boxd.it/8N24gL,4.5,,mubi,2025-02-09
2025-02-12,Asparagus,1979,https://boxd.it/8NSJq7,,,"mubi, wtf cinema❓",2025-02-11
